label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,blank_1,blank_2,blank_3,blank_1_r,blank_2_r,blank_3_r,caecum_1,caecum_2,caecum_3,caecum_4,caecum_5,caecum_6,caecum_7,feces_3,feces_5,feces_6,feces_7
,1,1,16,194.057495,3.613,0.810449,[M-H]-,C12 PARENT,derivatized-Acetate,derivatized-Acetate,C8H9N3O3,0.087,1.96576,194.057495,447041.91,516270,4527.25,594290.31,577463.81,209520.38,124508096,117783072,40438572,1466356.5,66307456,29793168,108817304,96463968,444701.16,1496859.12,84585416
,1,2,8,195.06076,3.617,0.73071,,C13-label-1,derivatized-Acetate,derivatized-Acetate,C8H9N3O3,0.083,1.486293,194.057495,34899.39,37332.46,0,42518.32,43224.01,15856.79,14481816,14137099,4980282.5,172086.95,10768275,4307219.5,17413346,11154148,68903.51,214881.14,13282785
,1,3,2,196.064102,3.588,0.684458,,C13-label-2,derivatized-Acetate,derivatized-Acetate,C8H9N3O3,0.112,1.400861,194.057495,0,873.83,0,3897.72,1203.32,0,6444985.5,7554560,3055581.25,81435.18,17104922,5889352,28697254,7093234.5,142819.02,302512.84,23441770
,1,4,7,197.067398,3.591,0.747662,,C13-label-3,derivatized-Acetate,derivatized-Acetate,C8H9N3O3,0.109,1.084011,194.057495,0,0,0,0,0,0,311824.09,389566.16,157956.12,3837.4,1053122,353979.09,1723291.38,369354.03,8182.22,16500.59,1448124.62
,1,5,5,198.070496,3.607,0.6776,,C13-label-4,derivatized-Acetate,derivatized-Acetate,C8H9N3O3,0.093,0.154074,194.057495,0,0,0,0,0,0,8176.69,5494.83,1871.42,0,19168.92,7058.91,36399.23,7173.04,0,0,27210.74
,6,6,16,222.08905,6.383,0.847094,[M-H]-,C12 PARENT,derivatized-Butyrate,derivatized-Butyrate,C10H13N3O3,0.017,2.885649,222.08905,13971.67,12404.67,0,14734.83,15828.19,4456.54,218943792,199813824,57429196,3036535.25,95431880,37683332,139212048,112034304,549995.38,1595777.62,94609216
,6,7,9,223.092209,6.396,0.831335,,C13-label-1,derivatized-Butyrate,derivatized-Butyrate,C10H13N3O3,0.004,1.983511,222.08905,628.71,1369.73,0,2007.63,1320.56,765.33,33553614,30863336,9193219,468117.53,19474802,6264794.5,27321552,17609756,120580.27,281609.34,18752208
,6,8,9,224.095413,6.4,0.806604,,C13-label-2,derivatized-Butyrate,derivatized-Butyrate,C10H13N3O3,0,1.293723,222.08905,0,0,0,421.58,0,0,32367754,31277806,8143910.5,411754.84,37439268,12182075,54099692,15631629,317514.97,563942.25,38908952
,6,9,8,225.098923,6.412,0.843655,,C13-label-3,derivatized-Butyrate,derivatized-Butyrate,C10H13N3O3,0.012,1.965828,222.08905,0,0,0,0,0,0,3408661.75,3106752.75,853652.19,37672.94,5665166.5,1724210.38,8331518.5,1600632.88,47956.78,70062.95,5848854
,6,10,10,226.102295,6.41,0.841506,,C13-label-4,derivatized-Butyrate,derivatized-Butyrate,C10H13N3O3,0.01,2.024591,222.08905,0,0,0,0,0,0,5419548,3429570.75,684892,53552.14,8008626.5,4977890.5,15303299,1189263.62,77506.75,183719.23,10471273
,6,11,9,227.105652,6.411,0.814668,,C13-label-5,derivatized-Butyrate,derivatized-Butyrate,C10H13N3O3,0.011,2.015646,222.08905,0,0,0,0,0,0,291012.03,176041.19,34609.72,2437.38,447390.41,299267.09,922147.25,73622.94,3178.94,8846.71,628802.19
,6,12,0,228.108887,6.403,0.287534,,C13-label-6,derivatized-Butyrate,derivatized-Butyrate,C10H13N3O3,0.003,1.538531,222.08905,0,0,0,0,0,0,0,0,0,0,1704.25,3078.33,4293.01,785.36,0,0,3521.27
,13,13,16,208.073227,5.405,0.849738,[M-H]-,C12 PARENT,derivatized-Propionate,derivatized-Propionate,C9H11N3O3,0.005,2.200017,208.073227,17572.8,17101.72,470.78,21746.37,22152.33,7862.45,72897216,74160824,18643306,723486.31,31377392,12792181,51283764,49902652,222786.44,639525.94,38892720
,13,14,10,209.076569,5.405,0.839248,,C13-label-1,derivatized-Propionate,derivatized-Propionate,C9H11N3O3,0.005,2.18946,208.073227,937.07,1135.41,0,2115.95,1509.44,0,9237759,9796609,2459646.75,87878.85,5490911.5,1892884.5,8816917,6505418.5,33824.2,92840.59,6701804
,13,15,9,210.07988,5.398,0.829459,,C13-label-2,derivatized-Propionate,derivatized-Propionate,C9H11N3O3,0.002,1.961102,208.073227,0,0,0,0,0,0,1850545.5,3333184,909213.19,24859.09,8678419,2880481.25,10919638,2455304.75,59635.68,131477.42,8183624
,13,16,9,211.083237,5.399,0.84361,,C13-label-3,derivatized-Propionate,derivatized-Propionate,C9H11N3O3,0.001,1.95178,208.073227,0,0,0,0,0,0,508170.03,1050228.12,306970.22,6320.73,4225790.5,1429636,4944500.5,828776.06,32874.13,60767.86,3919523.25
,13,17,9,212.086441,5.391,0.842562,,C13-label-4,derivatized-Propionate,derivatized-Propionate,C9H11N3O3,0.009,1.223085,208.073227,0,519.82,0,0,0,0,24509.99,47896.09,11269.14,0,232855.56,74342.39,266281.59,42834.19,1068.08,2394.12,197345
,13,18,0,213.089523,5.425,0.224653,,C13-label-5,derivatized-Propionate,derivatized-Propionate,C9H11N3O3,0.025,0.071607,208.073227,0,0,0,0,0,0,0,811.72,0,0,1324.39,738.47,2651.31,0,0,0,1092.82
,13,19,0,216.099701,5.545,0.052918,,C13-label-8,derivatized-Propionate,derivatized-Propionate,C9H11N3O3,0.145,0.42366,208.073227,636.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0